Block,Condition,imgName
"Human","Human","human3.png"
"Human","Human","human11.png"
"Human","Human","human10.png"
"Human","Human","human14.png"
"Human","Human","human6.png"
"Human","Human","human15.png"
"Human","Human","human16.png"
"Human","Human","human13.png"
"Human","Human","human8.png"
"Human","Human","human5.png"
"Human","Human","human12.png"
"Human","Human","human9.png"
"Human","Human","human4.png"
"Human","Human","human18.png"
"Human","Human","human1.png"
"Human","Human","human17.png"
"Human","Human","human2.png"
"Human","Human","human7.png"
"Human","Human","human6.png"
"Human","Human","human1.png"
"Human","Human","human16.png"
"Human","Human","human5.png"
"Human","Human","human2.png"
"Human","Human","human13.png"
"Human","Human","human7.png"
"Human","Human","human4.png"
"Human","Human","human12.png"
"Human","Human","human17.png"
"Human","Human","human18.png"
"Human","Human","human3.png"
"Human","Human","human15.png"
"Human","Human","human14.png"
"Human","Human","human11.png"
"Human","Human","human8.png"
"Human","Human","human9.png"
"Human","Human","human10.png"
"Human","Human","human10.png"
"Human","Human","human9.png"
"Human","Human","human4.png"
"Human","Human","human2.png"
"Human","Human","human12.png"
"Human","Human","human11.png"
"Human","Human","human17.png"
"Human","Human","human18.png"
"Human","Human","human1.png"
"Human","Human","human5.png"
"Human","Human","human3.png"
"Human","Human","human8.png"
"Human","Human","human15.png"
"Human","Human","human14.png"
"Human","Human","human6.png"
"Human","Human","human13.png"
"Human","Human","human7.png"
"Human","Human","human16.png"
"Robot","Robot","robot10.png"
"Robot","Robot","robot15.png"
"Robot","Robot","robot6.png"
"Robot","Robot","robot24.png"
"Robot","Robot","robot9.png"
"Robot","Robot","robot8.png"
"Robot","Robot","robot17.png"
"Robot","Robot","robot1.png"
"Robot","Robot","robot16.png"
"Robot","Robot","robot25.png"
"Robot","Robot","robot28.png"
"Robot","Robot","robot3.png"
"Robot","Robot","robot5.png"
"Robot","Robot","robot22.png"
"Robot","Robot","robot21.png"
"Robot","Robot","robot23.png"
"Robot","Robot","robot20.png"
"Robot","Robot","robot29.png"
"Robot","Robot","robot7.png"
"Robot","Robot","robot14.png"
"Robot","Robot","robot27.png"
"Robot","Robot","robot26.png"
"Robot","Robot","robot4.png"
"Robot","Robot","robot2.png"
"Robot","Robot","robot18.png"
"Robot","Robot","robot19.png"
"Robot","Robot","robot13.png"
"Robot","Robot","robot12.png"
"Robot","Robot","robot30.png"
"Robot","Robot","robot11.png"
"Robot","Robot","robot18.png"
"Robot","Robot","robot24.png"
"Robot","Robot","robot28.png"
"Robot","Robot","robot17.png"
"Robot","Robot","robot14.png"
"Robot","Robot","robot13.png"
"Robot","Robot","robot29.png"
"Robot","Robot","robot10.png"
"Robot","Robot","robot8.png"
"Robot","Robot","robot1.png"
"Robot","Robot","robot20.png"
"Robot","Robot","robot30.png"
"Robot","Robot","robot21.png"
"Robot","Robot","robot7.png"
"Robot","Robot","robot25.png"
"Robot","Robot","robot16.png"
"Robot","Robot","robot6.png"
"Robot","Robot","robot12.png"
"Robot","Robot","robot11.png"
"Robot","Robot","robot23.png"
"Robot","Robot","robot27.png"
"Robot","Robot","robot22.png"
"Robot","Robot","robot9.png"
"Robot","Robot","robot15.png"
"Robot","Robot","robot3.png"
"Robot","Robot","robot19.png"
"Robot","Robot","robot5.png"
"Robot","Robot","robot26.png"
"Robot","Robot","robot2.png"
"Robot","Robot","robot4.png"
"Robot","Robot","robot23.png"
"Robot","Robot","robot20.png"
"Robot","Robot","robot21.png"
"Robot","Robot","robot5.png"
"Robot","Robot","robot28.png"
"Robot","Robot","robot30.png"
"Robot","Robot","robot26.png"
"Robot","Robot","robot7.png"
"Robot","Robot","robot17.png"
"Robot","Robot","robot15.png"
"Robot","Robot","robot8.png"
"Robot","Robot","robot11.png"
"Robot","Robot","robot2.png"
"Robot","Robot","robot10.png"
"Robot","Robot","robot1.png"
"Robot","Robot","robot24.png"
"Robot","Robot","robot16.png"
"Robot","Robot","robot14.png"
"Robot","Robot","robot27.png"
"Robot","Robot","robot13.png"
"Robot","Robot","robot25.png"
"Robot","Robot","robot29.png"
"Robot","Robot","robot3.png"
"Robot","Robot","robot12.png"
"Robot","Robot","robot22.png"
"Robot","Robot","robot18.png"
"Robot","Robot","robot6.png"
"Robot","Robot","robot4.png"
"Robot","Robot","robot19.png"
"Robot","Robot","robot9.png"
"Alternating","human","human5.png"
"Alternating","human","human4.png"
"Alternating","human","human6.png"
"Alternating","human","human3.png"
"Alternating","robot","robot21.png"
"Alternating","robot","robot24.png"
"Alternating","robot","robot13.png"
"Alternating","human","human11.png"
"Alternating","robot","robot20.png"
"Alternating","robot","robot7.png"
"Alternating","human","human16.png"
"Alternating","robot","robot9.png"
"Alternating","human","human1.png"
"Alternating","human","human2.png"
"Alternating","robot","robot5.png"
"Alternating","robot","robot27.png"
"Alternating","robot","robot26.png"
"Alternating","human","human13.png"
"Alternating","robot","robot16.png"
"Alternating","human","human8.png"
"Alternating","human","human15.png"
"Alternating","human","human10.png"
"Alternating","robot","robot2.png"
"Alternating","human","human9.png"
"Alternating","human","human18.png"
"Alternating","robot","robot19.png"
"Alternating","robot","robot23.png"
"Alternating","human","human12.png"
"Alternating","robot","robot18.png"
"Alternating","robot","robot14.png"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
